@RELATION mirnas_train


@ATTRIBUTE ddG NUMERIC
@ATTRIBUTE gc_content NUMERIC
@ATTRIBUTE dP NUMERIC
@ATTRIBUTE dQ NUMERIC
@ATTRIBUTE ddS NUMERIC
@ATTRIBUTE dMelt NUMERIC
@ATTRIBUTE dGU NUMERIC
@ATTRIBUTE dAU NUMERIC
@ATTRIBUTE dSS NUMERIC
@ATTRIBUTE Fs NUMERIC
@ATTRIBUTE zP NUMERIC
@ATTRIBUTE zG NUMERIC
@ATTRIBUTE zQ NUMERIC
@ATTRIBUTE zD NUMERIC
@ATTRIBUTE zF NUMERIC
@ATTRIBUTE nefe NUMERIC
@ATTRIBUTE freq NUMERIC
@ATTRIBUTE diff NUMERIC
@ATTRIBUTE diversity NUMERIC
@ATTRIBUTE GU_stems NUMERIC
@ATTRIBUTE MFEI1 NUMERIC
@ATTRIBUTE MFEI2 NUMERIC
@ATTRIBUTE MFEI3 NUMERIC
@ATTRIBUTE MFEI4 NUMERIC
@ATTRIBUTE MFEIss NUMERIC
@ATTRIBUTE dPdQ NUMERIC
@ATTRIBUTE MFEI1zG NUMERIC
@ATTRIBUTE dPzG NUMERIC
@ATTRIBUTE class {yes,no}

@DATA
-0.3047619047619048,0.3968253968253968,0.32142857142857145,0.01884694168485445,-7.542857142857143,0.4173054954304954,0.09523809523809523,0.20238095238095238,0.03571428571428571,0.267949,1.0204,-3.4697,-1.0706,-0.814,0.4356,-0.31202380952380954,320.0386411,0.02392857142857145,9.58,0.012345679012345678,0.7680000000000001,0.0507936507936508,0.06095238095238096,0.011287477954144622,8.533333333333335,0.006057945541560359,-2.6647296000000003,-1.1152607142857143,yes
-0.15617977528089888,0.4039893952783739,0.21348314606741572,0.01585978252804026,-5.800000000000001,0.3787400580734756,0.10112359550561797,0.10112359550561797,0.02247191011235955,0.585786,-0.4623,-0.5581,-0.7309,-0.7118,0.0257,-0.1886516853932584,320.0757822,0.01786516853932584,12.53,0.013157894736842105,0.38659375000000007,0.03904494382022472,0.02602996254681648,0.008219988172678888,6.95,0.003385796270031067,-0.21575797187500007,-0.11914494382022472,no
-0.28545454545454546,0.3140495867768595,0.3090909090909091,0.01434088954760178,-7.4799999999999995,0.31665709108587087,0.10909090909090909,0.17272727272727273,0.03636363636363636,0.585786,0.7494,-3.5369,-1.7322,-1.7085,0.6536,-0.32190909090909087,320.019907,0.021909090909090878,11.13,0.012605042016806723,0.9089473684210526,0.04077922077922078,0.04077922077922078,0.00839572192513369,7.8500000000000005,0.00443263858744055,-3.214855947368421,-1.0932236363636363,yes
-0.23714285714285716,0.7142857142857143,0.2714285714285714,0.021965013403120695,-6.72,0.4935009718172983,0.15714285714285714,0.07142857142857142,0.02857142857142857,0.381966,-0.1487,0.0249,0.7599,1.2336,0.6125,-0.27814285714285714,320.0251818,0.032428571428571425,17.44,0.031578947368421054,0.332,0.04742857142857143,0.04742857142857143,0.012481203007518798,8.3,0.0059619322094184735,0.0082668,0.006758571428571428,no
-0.48653846153846153,0.0,0.34615384615384615,0.030438448702445838,-8.934615384615386,0.7011821583496142,0.21153846153846154,0.07692307692307693,0.019230769230769232,0.0,1.6977,-6.1784,-1.6578,-1.5405,0.2622,-0.5846153846153845,320.375456,0.011538461538461497,3.57,0.05555555555555555,0.37588571428571427,0.1621794871794872,0.12163461538461538,0.02702991452991453,25.299999999999997,0.010536386089308174,-2.322372297142857,-2.138676923076923,yes
-0.29000000000000004,0.9591836734693876,0.2714285714285714,0.021965013403120695,-8.07,0.494398502895582,0.21428571428571427,0.02857142857142857,0.014285714285714285,0.585786,0.465,-0.0994,-0.3204,-0.3468,-0.6755,-0.374,320.283134,0.01114285714285716,8.91,0.021052631578947368,0.302340425531915,0.05800000000000001,0.04142857142857143,0.015263157894736845,20.300000000000004,0.0059619322094184735,-0.03005263829787235,-0.026979999999999997,no
-0.36756756756756753,0.9861212563915266,0.33783783783783783,0.021414835564371494,-7.804054054054054,0.48274248274248277,0.22972972972972974,0.05405405405405406,0.08108108108108109,0.381966,-0.5714,0.3515,0.6378,0.7926,1.3609,-0.4275675675675676,320.156587,0.015405405405405413,21.99,0.02666666666666667,0.3727407407407407,0.06126126126126125,0.04594594594594594,0.014702702702702701,4.533333333333332,0.007234741744720099,0.13101837037037034,0.11875,yes
-0.24102564102564103,0.6738987508218277,0.2692307692307692,0.019669089622390563,-7.924358974358975,0.43661510252676733,0.15384615384615385,0.08974358974358974,0.05128205128205128,0.381966,0.5895,-1.0386,0.1738,0.8353,-0.1172,-0.28102564102564104,320.0992285,0.018205128205128228,22.15,0.019047619047619046,0.3576585365853659,0.048205128205128206,0.034432234432234435,0.011477411477411478,4.7,0.005295524129105151,-0.371464156097561,-0.2796230769230769,no
-0.5019607843137255,0.0,0.35294117647058826,0.03097771374644185,-10.374509803921569,0.7030065853595264,0.2549019607843137,0.0392156862745098,0.0196078431372549,0.0,1.2541,-4.9848,-1.7608,-1.6774,-0.4849,-0.5588235294117647,320.321137,0.013725490196078417,5.05,0.041666666666666664,0.38400000000000006,0.12549019607843137,0.1003921568627451,0.027886710239651415,25.6,0.0109333107340383,-1.9141632000000002,-1.7593411764705884,yes
-0.20927835051546392,0.5314061005420342,0.30927835051546393,0.016264038200379333,-8.22680412371134,0.34596801281554407,0.14432989690721648,0.12371134020618557,0.010309278350515464,0.166717,2.6476,-0.8838,-0.5295,-0.4234,0.6276,-0.25587628865979384,320.0847738,0.0156701030927835,17.77,0.019047619047619046,0.39382000000000006,0.029896907216494847,0.029896907216494847,0.006975945017182131,20.3,0.0050301149073338144,-0.3480581160000001,-0.27334020618556704,no
